synthetic_161000_161000_avg420_std0.64_random_n14,161000,161000,67539436,161000,161000,362458816,436.662,128,3.89309,30.4147,4.44123,23.8344,2960.74
synthetic_161000_161000_avg420_std0.64_diagonal_0.5_n14,161000,161000,67539436,161000,161000,187796800,178.055,128,1.63162,12.747,10.5969,29.4653,1533.58
synthetic_1000000_1000000_avg45_std2.5_random_n14,1000000,1000000,44499926,1000000,1000000,1303813344,2829.92,128,0,0,0,0,10677.8
synthetic_526000_526000_avg105_std2.5_random_n14,526000,526000,54966775,526000,526000,1207494880,2096.77,128,0,0,0,0,9869.08
synthetic_1000000_1000000_avg45_std2.5_diagonal_0.5_n14,1000000,1000000,44499926,1000000,1000000,136434784,206.596,128,1.18917,9.29038,9.57978,29.3712,1114.41
synthetic_526000_526000_avg105_std2.5_diagonal_0.5_n14,526000,526000,54966775,526000,526000,159074400,189.401,128,1.38246,10.8005,10.1786,29.4569,1299.17
synthetic_161000_161000_avg420_std0.64_diagonal_0.05_n14,161000,161000,67539436,161000,161000,271060320,301.336,128,2.4159,18.8742,7.1568,28.7229,2213.58
synthetic_1000000_1000000_avg45_std2.5_diagonal_0.05_n14,1000000,1000000,44499926,1000000,1000000,192422112,332.41,128,1.75961,13.747,6.47415,27.9949,1571.64
synthetic_526000_526000_avg105_std2.5_diagonal_0.05_n14,526000,526000,54966775,526000,526000,226749344,312.521,128,2.04649,15.9882,6.87592,28.3646,1851.86
synthetic_1000000_1000000_avg45_std2.5_diagonal_0.005_n14,1000000,1000000,44499926,1000000,1000000,255593088,474.367,128,2.84037,22.1904,4.01074,23.0364,2088.01
synthetic_161000_161000_avg420_std0.64_diagonal_0.005_n14,161000,161000,67539436,161000,161000,339169088,402.179,128,3.51689,27.4757,4.91631,24.6887,2770.33
synthetic_526000_526000_avg105_std2.5_diagonal_0.005_n14,526000,526000,54966775,526000,526000,302498784,450.33,128,3.30403,25.8128,4.25889,23.4379,2471.02
synthetic_207000_207000_avg220_std13_random_n14,207000,207000,45434497,207000,207000,343682432,656.435,128,4.2315,33.0586,2.74872,20.7923,2808.22
synthetic_207000_207000_avg220_std13_diagonal_0.5_n14,207000,207000,45434497,207000,207000,127966240,181.65,128,1.11448,8.70686,10.4365,29.3944,1045.02
synthetic_207000_207000_avg220_std13_diagonal_0.05_n14,207000,207000,45434497,207000,207000,183977216,304.928,128,1.65787,12.9521,7.01575,28.4088,1502.46
synthetic_526000_526000_avg45_std125_random_n14,526000,526000,55560282,526000,526000,1051533408,1792.6,128,0,0,0,0,8594.89
synthetic_526000_526000_avg45_std125_diagonal_0.5_n14,526000,526000,55560282,526000,526000,160802784,189.42,128,1.42644,11.1441,9.97128,28.8589,1313.27
synthetic_207000_207000_avg220_std13_diagonal_0.005_n14,207000,207000,45434497,207000,207000,240517312,429.372,128,2.6269,20.5226,4.42774,23.4392,1964.71
synthetic_987000_987000_avg70_std2.25_random_n14,987000,987000,68596840,987000,987000,1910140384,2684.59,128,0,0,0,0,15633.5
synthetic_526000_526000_avg45_std125_diagonal_0.05_n14,526000,526000,55560282,526000,526000,229139328,312.416,128,2.25843,17.644,6.29793,25.9737,1871.56
synthetic_987000_987000_avg70_std2.25_diagonal_0.5_n14,987000,987000,68596840,987000,987000,203288096,196.352,128,1.76772,13.8103,9.93413,29.44,1660.36
synthetic_526000_526000_avg45_std125_diagonal_0.005_n14,526000,526000,55560282,526000,526000,304877728,448.733,128,5.31874,41.5527,2.67421,14.6743,2492.76
synthetic_987000_987000_avg70_std2.25_diagonal_0.05_n14,987000,987000,68596840,987000,987000,288101280,319.992,128,2.61843,20.4565,6.70661,28.1672,2352.93
synthetic_268000_268000_avg220_std0.02_random_n14,268000,268000,58826098,268000,268000,548972256,833.212,128,0,0,0,0,4485.29
synthetic_4690000_4690000_avg10_std2.5_random_n14,4690000,4690000,44544480,4690000,4690000,1419574528,3086.87,128,0,0,0,0,12505
synthetic_987000_987000_avg70_std2.25_diagonal_0.005_n14,987000,987000,68596840,987000,987000,384495072,460.514,128,4.22564,33.0128,4.15577,23.2937,3140.96
synthetic_268000_268000_avg220_std0.02_diagonal_0.5_n14,268000,268000,58826098,268000,268000,165702560,181.682,128,1.43997,11.2498,10.4582,29.4588,1353.19
synthetic_4690000_4690000_avg10_std2.5_diagonal_0.5_n14,4690000,4690000,44544480,4690000,4690000,179945024,303.967,128,2.48658,19.4264,4.58597,18.5258,1471.29
synthetic_4690000_4690000_avg10_std2.5_diagonal_0.05_n14,4690000,4690000,44544480,4690000,4690000,247513760,455.655,128,2.48719,19.4312,4.58485,25.4759,2022.8
synthetic_268000_268000_avg220_std0.02_diagonal_0.05_n14,268000,268000,58826098,268000,268000,238295392,305.084,128,2.13272,16.6619,7.06115,28.6036,1946.06
