matrix	nr_rows	nr_cols	nr_nzeros	density	nnz-r-min	nnz-r-max	nnz-r-avg	nnz-r-std	nnz-c-min	nnz-c-max	nnz-c-avg	nnz-c-std	skew_coeff	bw-min	bw-max	bw-avg	bw-std	bw-scaled-min	bw-scaled-max	bw-scaled-avg	bw-scaled-std	sc-min	sc-max	sc-avg	sc-std	sc-scaled-min	sc-scaled-max	sc-scaled-avg	sc-scaled-std	nr_groups-r-min	nr_groups-r-max	nr_groups-r-avg	nr_groups-r-std	num-neigh-avg	cross_row_sim-avg	mem_footprint
scircuit	170998	170998	958936	3.3e-05	1.0	353.0	5.607878	4.392162	1.0	353.0	5.607878	4.39219	61.947156	0.0	170975.0	50829.588264	47664.396177	0.0	0.999865	0.297253	0.278742	0.0	2.0	0.16092	0.419741	0.0	341996.0	27516.95419	71774.867477	1.0	191.0	3.355291	3.01059	0.803365	0.633019	11.626461029052734
mac_econ_fwd500	206500	206500	1273389	3e-05	1.0	44.0	6.166533	4.435865	1.0	47.0	6.166533	6.106394	6.13529	0.0	2090.0	393.993022	427.233265	0.0	0.010121	0.001908	0.002069	0.0	2.0	0.167215	0.402977	0.0	413000.0	34529.892491	83214.696029	1.0	44.0	5.621763	4.566556	0.176686	0.330509	15.360519409179688
raefsky3	21200	21200	1488768	0.003312	32.0	80.0	70.224906	6.327	32.0	80.0	70.224906	6.327	0.139197	575.0	1975.0	1403.446792	178.143532	0.027123	0.09316	0.0662	0.008403	0.024304	0.083478	0.050712	0.006102	515.240506	1769.73913	1075.104684	129.353933	2.0	4.0	2.949434	0.224217	1.916	0.96302	17.118473052978516
rgg_n_2_17_s0	131072	131072	1457506	8.5e-05	0.0	28.0	11.119888	3.34422	0.0	28.0	11.119888	3.34422	1.518011	0.0	66372.0	973.47094	5529.884743	0.0	0.506378	0.007427	0.04219	0.0	1.0	0.022296	0.00773	0.0	131072.0	2922.347383	1013.183949	0.0	28.0	10.931114	3.261376	0.033953	0.051741	17.17983627319336
bbmat	38744	38744	1771722	0.00118	6.0	126.0	45.728939	38.395314	8.0	132.0	45.728939	39.106107	1.755367	233.0	38524.0	1158.219234	2871.405509	0.006014	0.994322	0.029894	0.074112	0.00026	0.358025	0.050069	0.042671	10.057107	13871.308642	1939.868272	1653.253315	2.0	43.0	16.859669	12.339203	1.262626	0.85373	20.42354965209961
appu	14000	14000	1853104	0.009455	12.0	294.0	132.364571	36.494459	12.0	294.0	132.364571	36.494459	1.221138	11477.0	13998.0	13769.606286	180.596267	0.819786	0.999857	0.983543	0.0129	0.000953	0.021263	0.009602	0.00261	13.344984	297.678455	134.421287	36.540429	12.0	290.0	131.027	35.806617	0.02021	0.036817	21.260501861572266
mc2depi	525825	525825	2100225	8e-06	2.0	4.0	3.994152	0.076323	2.0	4.0	3.994152	0.076323	0.001464	1.0	770.0	705.746224	143.827514	2e-06	0.001464	0.001342	0.000274	0.003896	2.0	0.006482	0.007898	2048.668831	1051650.0	3408.628847	4152.795604	1.0	3.0	2.999015	0.031492	0.498297	0.998906	26.041034698486328
rma10	46835	46835	2374001	0.001082	4.0	145.0	50.688609	27.780596	4.0	145.0	50.688609	27.780596	1.860603	9.0	25380.0	8794.267172	10407.072456	0.000192	0.541902	0.187771	0.222207	0.001148	1.0	0.129109	0.18491	53.759183	46835.0	6046.84032	8660.280971	2.0	20.0	7.103384	3.31033	1.719725	0.866408	27.34695053100586
cop20k_A	121192	121192	2624331	0.000179	0.0	81.0	21.654325	13.792662	0.0	81.0	21.654325	13.792662	2.740592	0.0	121052.0	75509.27907	38291.921419	0.0	0.998845	0.623055	0.315961	0.0	0.001116	0.000242	0.000155	0.0	135.219649	29.374856	18.806173	0.0	40.0	9.789631	6.189387	1.095827	0.6334	30.495399475097656
thermomech_dK	204316	204316	2846228	6.8e-05	7.0	20.0	13.930519	1.430513	7.0	20.0	13.930519	1.430513	0.435697	959.0	204277.0	90840.915753	44775.249221	0.004694	0.999809	0.44461	0.219147	3.5e-05	0.014599	0.000263	0.000345	7.122676	2982.715328	53.701366	70.532164	2.0	10.0	6.898285	0.857047	1.009616	0.543671	33.35190200805664
